Subject,Vibration Side,Vibration Pair (ms),Accuracy
1,1,60,0.0
1,0,60,1.0
1,0,60,1.0
1,1,60,1.0
1,0,60,1.0
1,1,60,1.0
1,0,60,0.0
1,1,60,0.0
1,0,60,1.0
1,1,60,0.0
1,1,220,1.0
1,1,220,1.0
1,0,220,1.0
1,0,220,1.0
1,1,220,1.0
1,0,220,1.0
1,0,220,1.0
1,1,220,0.0
1,0,220,1.0
1,0,220,0.0
1,1,270,1.0
1,0,270,1.0
1,0,270,1.0
1,0,270,1.0
1,1,270,1.0
1,0,270,1.0
1,1,270,1.0
1,0,270,1.0
1,1,270,1.0
1,1,270,1.0
1,0,330,1.0
1,1,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,1,330,1.0
1,0,330,1.0
1,0,380,1.0
1,0,380,1.0
1,1,380,1.0
1,1,380,1.0
1,0,380,1.0
1,1,380,1.0
1,1,380,1.0
1,0,380,0.0
1,1,380,1.0
1,1,380,1.0
1,0,600,1.0
1,1,600,1.0
1,1,600,1.0
1,1,600,0.0
1,0,600,1.0
1,1,600,1.0
1,0,600,1.0
1,1,600,1.0
1,0,600,1.0
1,0,600,1.0
2,1,60,0.0
2,0,60,1.0
2,0,60,0.0
2,1,60,1.0
2,0,60,1.0
2,1,60,1.0
2,0,60,0.0
2,1,60,1.0
2,0,60,1.0
2,1,60,0.0
2,1,220,1.0
2,1,220,1.0
2,0,220,1.0
2,0,220,1.0
2,1,220,1.0
2,0,220,1.0
2,0,220,1.0
2,1,220,0.0
2,0,220,1.0
2,0,220,0.0
2,1,270,1.0
2,0,270,1.0
2,0,270,1.0
2,0,270,0.0
2,1,270,1.0
2,0,270,1.0
2,1,270,1.0
2,0,270,1.0
2,1,270,0.0
2,1,270,1.0
2,0,330,1.0
2,1,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,1,330,1.0
2,0,330,1.0
2,0,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,380,1.0
2,1,380,1.0
2,1,380,1.0
2,0,600,1.0
2,1,600,1.0
2,1,600,1.0
2,1,600,1.0
2,0,600,1.0
2,1,600,1.0
2,0,600,1.0
2,1,600,1.0
2,0,600,1.0
2,0,600,1.0
3,1,60,1.0
3,0,60,1.0
3,0,60,1.0
3,1,60,1.0
3,0,60,1.0
3,1,60,1.0
3,0,60,1.0
3,1,60,1.0
3,0,60,0.0
3,1,60,1.0
3,1,220,1.0
3,1,220,1.0
3,0,220,1.0
3,0,220,1.0
3,1,220,1.0
3,0,220,1.0
3,0,220,1.0
3,1,220,1.0
3,0,220,1.0
3,0,220,1.0
3,1,270,1.0
3,0,270,1.0
3,0,270,1.0
3,0,270,1.0
3,1,270,1.0
3,0,270,1.0
3,1,270,1.0
3,0,270,1.0
3,1,270,1.0
3,1,270,1.0
3,0,330,0.0
3,1,330,1.0
3,1,330,0.0
3,0,330,1.0
3,1,330,0.0
3,0,330,1.0
3,1,330,1.0
3,0,330,1.0
3,1,330,1.0
3,0,330,1.0
3,0,380,1.0
3,0,380,1.0
3,1,380,1.0
3,1,380,1.0
3,0,380,0.0
3,1,380,1.0
3,1,380,1.0
3,0,380,1.0
3,1,380,1.0
3,1,380,1.0
3,0,600,1.0
3,1,600,1.0
3,1,600,1.0
3,1,600,0.0
3,0,600,1.0
3,1,600,1.0
3,0,600,1.0
3,1,600,1.0
3,0,600,1.0
3,0,600,1.0
4,1,60,1.0
4,0,60,0.0
4,0,60,1.0
4,1,60,1.0
4,0,60,1.0
4,1,60,1.0
4,0,60,1.0
4,1,60,0.0
4,0,60,1.0
4,1,60,1.0
4,1,220,1.0
4,1,220,1.0
4,0,220,0.0
4,0,220,1.0
4,1,220,0.0
4,0,220,1.0
4,0,220,1.0
4,1,220,0.0
4,0,220,1.0
4,0,220,0.0
4,1,270,1.0
4,0,270,0.0
4,0,270,1.0
4,0,270,0.0
4,1,270,1.0
4,0,270,1.0
4,1,270,1.0
4,0,270,1.0
4,1,270,1.0
4,1,270,1.0
4,0,330,1.0
4,1,330,1.0
4,1,330,1.0
4,0,330,1.0
4,1,330,0.0
4,0,330,1.0
4,1,330,0.0
4,0,330,0.0
4,1,330,1.0
4,0,330,0.0
4,0,380,1.0
4,0,380,1.0
4,1,380,1.0
4,1,380,1.0
4,0,380,0.0
4,1,380,1.0
4,1,380,1.0
4,0,380,1.0
4,1,380,1.0
4,1,380,1.0
4,0,600,1.0
4,1,600,1.0
4,1,600,1.0
4,1,600,0.0
4,0,600,1.0
4,1,600,1.0
4,0,600,1.0
4,1,600,1.0
4,0,600,1.0
4,0,600,1.0
5,1,60,1.0
5,0,60,1.0
5,0,60,1.0
5,1,60,1.0
5,0,60,1.0
5,1,60,1.0
5,0,60,1.0
5,1,60,1.0
5,0,60,1.0
5,1,60,1.0
5,1,220,1.0
5,1,220,1.0
5,0,220,0.0
5,0,220,1.0
5,1,220,1.0
5,0,220,1.0
5,0,220,1.0
5,1,220,1.0
5,0,220,1.0
5,0,220,0.0
5,1,270,1.0
5,0,270,1.0
5,0,270,1.0
5,0,270,1.0
5,1,270,1.0
5,0,270,1.0
5,1,270,1.0
5,0,270,1.0
5,1,270,1.0
5,1,270,1.0
5,0,330,0.0
5,1,330,1.0
5,1,330,1.0
5,0,330,1.0
5,1,330,0.0
5,0,330,1.0
5,1,330,1.0
5,0,330,0.0
5,1,330,0.0
5,0,330,1.0
5,0,380,1.0
5,0,380,1.0
5,1,380,0.0
5,1,380,1.0
5,0,380,1.0
5,1,380,1.0
5,1,380,1.0
5,0,380,1.0
5,1,380,1.0
5,1,380,1.0
5,0,600,1.0
5,1,600,1.0
5,1,600,1.0
5,1,600,1.0
5,0,600,1.0
5,1,600,1.0
5,0,600,1.0
5,1,600,1.0
5,0,600,1.0
5,0,600,1.0
6,1,60,1.0
6,0,60,1.0
6,0,60,1.0
6,1,60,1.0
6,0,60,1.0
6,1,60,1.0
6,0,60,1.0
6,1,60,1.0
6,0,60,1.0
6,1,60,1.0
6,1,220,1.0
6,1,220,1.0
6,0,220,1.0
6,0,220,1.0
6,1,220,1.0
6,0,220,1.0
6,0,220,1.0
6,1,220,1.0
6,0,220,1.0
6,0,220,1.0
6,1,270,1.0
6,0,270,1.0
6,0,270,1.0
6,0,270,0.0
6,1,270,1.0
6,0,270,1.0
6,1,270,1.0
6,0,270,1.0
6,1,270,0.0
6,1,270,1.0
6,0,330,1.0
6,1,330,0.0
6,1,330,0.0
6,0,330,1.0
6,1,330,1.0
6,0,330,1.0
6,1,330,1.0
6,0,330,1.0
6,1,330,1.0
6,0,330,1.0
6,0,380,1.0
6,0,380,1.0
6,1,380,1.0
6,1,380,1.0
6,0,380,1.0
6,1,380,1.0
6,1,380,1.0
6,0,380,1.0
6,1,380,1.0
6,1,380,1.0
6,0,600,1.0
6,1,600,1.0
6,1,600,1.0
6,1,600,1.0
6,0,600,1.0
6,1,600,1.0
6,0,600,1.0
6,1,600,1.0
6,0,600,0.0
6,0,600,1.0
7,1,60,0.0
7,0,60,1.0
7,0,60,1.0
7,1,60,1.0
7,0,60,1.0
7,1,60,1.0
7,0,60,1.0
7,1,60,0.0
7,0,60,1.0
7,1,60,1.0
7,1,220,1.0
7,1,220,1.0
7,0,220,1.0
7,0,220,1.0
7,1,220,1.0
7,0,220,0.0
7,0,220,1.0
7,1,220,0.0
7,0,220,1.0
7,0,220,0.0
7,1,270,1.0
7,0,270,0.0
7,0,270,1.0
7,0,270,0.0
7,1,270,1.0
7,0,270,1.0
7,1,270,1.0
7,0,270,1.0
7,1,270,1.0
7,1,270,1.0
7,0,330,1.0
7,1,330,1.0
7,1,330,1.0
7,0,330,1.0
7,1,330,0.0
7,0,330,1.0
7,1,330,1.0
7,0,330,1.0
7,1,330,1.0
7,0,330,1.0
7,0,380,1.0
7,0,380,1.0
7,1,380,1.0
7,1,380,1.0
7,0,380,0.0
7,1,380,1.0
7,1,380,1.0
7,0,380,0.0
7,1,380,1.0
7,1,380,0.0
7,0,600,1.0
7,1,600,1.0
7,1,600,1.0
7,1,600,1.0
7,0,600,1.0
7,1,600,1.0
7,0,600,1.0
7,1,600,1.0
7,0,600,1.0
7,0,600,1.0
8,1,60,1.0
8,0,60,1.0
8,0,60,1.0
8,1,60,1.0
8,0,60,1.0
8,1,60,1.0
8,0,60,1.0
8,1,60,0.0
8,0,60,1.0
8,1,60,1.0
8,1,220,1.0
8,1,220,1.0
8,0,220,1.0
8,0,220,1.0
8,1,220,1.0
8,0,220,1.0
8,0,220,1.0
8,1,220,1.0
8,0,220,1.0
8,0,220,0.0
8,1,270,1.0
8,0,270,0.0
8,0,270,1.0
8,0,270,1.0
8,1,270,1.0
8,0,270,1.0
8,1,270,1.0
8,0,270,1.0
8,1,270,1.0
8,1,270,1.0
8,0,330,1.0
8,1,330,1.0
8,1,330,1.0
8,0,330,1.0
8,1,330,0.0
8,0,330,1.0
8,1,330,1.0
8,0,330,0.0
8,1,330,1.0
8,0,330,1.0
8,0,380,1.0
8,0,380,1.0
8,1,380,1.0
8,1,380,1.0
8,0,380,0.0
8,1,380,1.0
8,1,380,1.0
8,0,380,1.0
8,1,380,1.0
8,1,380,0.0
8,0,600,1.0
8,1,600,0.0
8,1,600,1.0
8,1,600,0.0
8,0,600,1.0
8,1,600,1.0
8,0,600,1.0
8,1,600,1.0
8,0,600,1.0
8,0,600,1.0
9,1,60,0.0
9,0,60,1.0
9,0,60,1.0
9,1,60,1.0
9,0,60,1.0
9,1,60,1.0
9,0,60,1.0
9,1,60,0.0
9,0,60,1.0
9,1,60,1.0
9,1,220,1.0
9,1,220,1.0
9,0,220,1.0
9,0,220,1.0
9,1,220,0.0
9,0,220,0.0
9,0,220,1.0
9,1,220,1.0
9,0,220,1.0
9,0,220,1.0
9,1,270,1.0
9,0,270,1.0
9,0,270,1.0
9,0,270,1.0
9,1,270,1.0
9,0,270,1.0
9,1,270,1.0
9,0,270,1.0
9,1,270,0.0
9,1,270,1.0
9,0,330,0.0
9,1,330,1.0
9,1,330,1.0
9,0,330,1.0
9,1,330,1.0
9,0,330,1.0
9,1,330,1.0
9,0,330,0.0
9,1,330,1.0
9,0,330,1.0
9,0,380,1.0
9,0,380,1.0
9,1,380,1.0
9,1,380,1.0
9,0,380,1.0
9,1,380,1.0
9,1,380,1.0
9,0,380,1.0
9,1,380,1.0
9,1,380,1.0
9,0,600,1.0
9,1,600,0.0
9,1,600,1.0
9,1,600,0.0
9,0,600,1.0
9,1,600,1.0
9,0,600,1.0
9,1,600,1.0
9,0,600,1.0
9,0,600,1.0
10,1,60,0.0
10,0,60,1.0
10,0,60,1.0
10,1,60,1.0
10,0,60,1.0
10,1,60,1.0
10,0,60,1.0
10,1,60,0.0
10,0,60,1.0
10,1,60,0.0
10,1,220,1.0
10,1,220,1.0
10,0,220,1.0
10,0,220,1.0
10,1,220,1.0
10,0,220,1.0
10,0,220,1.0
10,1,220,1.0
10,0,220,1.0
10,0,220,0.0
10,1,270,1.0
10,0,270,0.0
10,0,270,1.0
10,0,270,0.0
10,1,270,1.0
10,0,270,1.0
10,1,270,1.0
10,0,270,1.0
10,1,270,0.0
10,1,270,1.0
10,0,330,1.0
10,1,330,1.0
10,1,330,1.0
10,0,330,1.0
10,1,330,0.0
10,0,330,1.0
10,1,330,1.0
10,0,330,1.0
10,1,330,1.0
10,0,330,1.0
10,0,380,1.0
10,0,380,1.0
10,1,380,0.0
10,1,380,1.0
10,0,380,1.0
10,1,380,1.0
10,1,380,1.0
10,0,380,0.0
10,1,380,1.0
10,1,380,0.0
10,0,600,1.0
10,1,600,0.0
10,1,600,1.0
10,1,600,1.0
10,0,600,1.0
10,1,600,1.0
10,0,600,0.0
10,1,600,0.0
10,0,600,1.0
10,0,600,1.0
11,1,60,0.0
11,0,60,1.0
11,0,60,1.0
11,1,60,1.0
11,0,60,0.0
11,1,60,1.0
11,0,60,1.0
11,1,60,0.0
11,0,60,1.0
11,1,60,1.0
11,1,220,1.0
11,1,220,1.0
11,0,220,0.0
11,0,220,1.0
11,1,220,1.0
11,0,220,1.0
11,0,220,1.0
11,1,220,0.0
11,0,220,1.0
11,0,220,1.0
11,1,270,1.0
11,0,270,1.0
11,0,270,1.0
11,0,270,1.0
11,1,270,1.0
11,0,270,1.0
11,1,270,1.0
11,0,270,1.0
11,1,270,1.0
11,1,270,1.0
11,0,330,1.0
11,1,330,1.0
11,1,330,1.0
11,0,330,1.0
11,1,330,0.0
11,0,330,1.0
11,1,330,1.0
11,0,330,1.0
11,1,330,1.0
11,0,330,1.0
11,0,380,1.0
11,0,380,1.0
11,1,380,0.0
11,1,380,1.0
11,0,380,1.0
11,1,380,1.0
11,1,380,1.0
11,0,380,0.0
11,1,380,1.0
11,1,380,1.0
11,0,600,1.0
11,1,600,1.0
11,1,600,1.0
11,1,600,1.0
11,0,600,1.0
11,1,600,1.0
11,0,600,1.0
11,1,600,1.0
11,0,600,1.0
11,0,600,1.0
12,1,60,1.0
12,0,60,1.0
12,0,60,0.0
12,1,60,1.0
12,0,60,1.0
12,1,60,1.0
12,0,60,1.0
12,1,60,1.0
12,0,60,1.0
12,1,60,1.0
12,1,220,1.0
12,1,220,1.0
12,0,220,0.0
12,0,220,1.0
12,1,220,1.0
12,0,220,1.0
12,0,220,1.0
12,1,220,0.0
12,0,220,1.0
12,0,220,0.0
12,1,270,1.0
12,0,270,1.0
12,0,270,1.0
12,0,270,1.0
12,1,270,1.0
12,0,270,1.0
12,1,270,1.0
12,0,270,1.0
12,1,270,1.0
12,1,270,1.0
12,0,330,1.0
12,1,330,0.0
12,1,330,0.0
12,0,330,1.0
12,1,330,1.0
12,0,330,1.0
12,1,330,1.0
12,0,330,1.0
12,1,330,1.0
12,0,330,1.0
12,0,380,1.0
12,0,380,1.0
12,1,380,0.0
12,1,380,1.0
12,0,380,1.0
12,1,380,1.0
12,1,380,1.0
12,0,380,0.0
12,1,380,1.0
12,1,380,0.0
12,0,600,1.0
12,1,600,1.0
12,1,600,1.0
12,1,600,1.0
12,0,600,1.0
12,1,600,1.0
12,0,600,1.0
12,1,600,1.0
12,0,600,1.0
12,0,600,1.0
13,1,60,1.0
13,0,60,1.0
13,0,60,1.0
13,1,60,1.0
13,0,60,0.0
13,1,60,1.0
13,0,60,1.0
13,1,60,0.0
13,0,60,1.0
13,1,60,0.0
13,1,220,1.0
13,1,220,1.0
13,0,220,1.0
13,0,220,1.0
13,1,220,1.0
13,0,220,1.0
13,0,220,1.0
13,1,220,0.0
13,0,220,1.0
13,0,220,1.0
13,1,270,1.0
13,0,270,1.0
13,0,270,1.0
13,0,270,1.0
13,1,270,1.0
13,0,270,1.0
13,1,270,1.0
13,0,270,1.0
13,1,270,1.0
13,1,270,1.0
13,0,330,1.0
13,1,330,1.0
13,1,330,1.0
13,0,330,1.0
13,1,330,0.0
13,0,330,1.0
13,1,330,1.0
13,0,330,0.0
13,1,330,1.0
13,0,330,1.0
13,0,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,600,1.0
13,1,600,0.0
13,1,600,1.0
13,1,600,1.0
13,0,600,1.0
13,1,600,1.0
13,0,600,1.0
13,1,600,1.0
13,0,600,1.0
13,0,600,1.0
14,1,60,0.0
14,0,60,1.0
14,0,60,1.0
14,1,60,1.0
14,0,60,1.0
14,1,60,1.0
14,0,60,1.0
14,1,60,0.0
14,0,60,0.0
14,1,60,1.0
14,1,220,1.0
14,1,220,1.0
14,0,220,0.0
14,0,220,1.0
14,1,220,1.0
14,0,220,1.0
14,0,220,1.0
14,1,220,0.0
14,0,220,1.0
14,0,220,1.0
14,1,270,1.0
14,0,270,1.0
14,0,270,1.0
14,0,270,1.0
14,1,270,1.0
14,0,270,1.0
14,1,270,1.0
14,0,270,1.0
14,1,270,1.0
14,1,270,1.0
14,0,330,1.0
14,1,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,0,380,1.0
14,0,380,1.0
14,1,380,0.0
14,1,380,1.0
14,0,380,1.0
14,1,380,1.0
14,1,380,1.0
14,0,380,0.0
14,1,380,1.0
14,1,380,1.0
14,0,600,1.0
14,1,600,1.0
14,1,600,1.0
14,1,600,1.0
14,0,600,1.0
14,1,600,1.0
14,0,600,1.0
14,1,600,1.0
14,0,600,1.0
14,0,600,1.0
15,1,60,1.0
15,0,60,1.0
15,0,60,1.0
15,1,60,1.0
15,0,60,0.0
15,1,60,1.0
15,0,60,1.0
15,1,60,1.0
15,0,60,1.0
15,1,60,1.0
15,1,220,1.0
15,1,220,1.0
15,0,220,1.0
15,0,220,1.0
15,1,220,1.0
15,0,220,1.0
15,0,220,1.0
15,1,220,0.0
15,0,220,1.0
15,0,220,0.0
15,1,270,1.0
15,0,270,1.0
15,0,270,1.0
15,0,270,1.0
15,1,270,1.0
15,0,270,1.0
15,1,270,1.0
15,0,270,1.0
15,1,270,1.0
15,1,270,1.0
15,0,330,1.0
15,1,330,1.0
15,1,330,1.0
15,0,330,1.0
15,1,330,0.0
15,0,330,1.0
15,1,330,1.0
15,0,330,1.0
15,1,330,1.0
15,0,330,0.0
15,0,380,1.0
15,0,380,1.0
15,1,380,0.0
15,1,380,1.0
15,0,380,1.0
15,1,380,1.0
15,1,380,1.0
15,0,380,0.0
15,1,380,1.0
15,1,380,1.0
15,0,600,1.0
15,1,600,0.0
15,1,600,1.0
15,1,600,0.0
15,0,600,1.0
15,1,600,1.0
15,0,600,1.0
15,1,600,1.0
15,0,600,1.0
15,0,600,1.0
16,1,60,1.0
16,0,60,1.0
16,0,60,0.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,1,220,1.0
16,1,220,1.0
16,0,220,1.0
16,0,220,1.0
16,1,220,1.0
16,0,220,0.0
16,0,220,1.0
16,1,220,0.0
16,0,220,1.0
16,0,220,1.0
16,1,270,1.0
16,0,270,1.0
16,0,270,1.0
16,0,270,0.0
16,1,270,1.0
16,0,270,1.0
16,1,270,0.0
16,0,270,1.0
16,1,270,1.0
16,1,270,1.0
16,0,330,1.0
16,1,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,1.0
16,0,330,1.0
16,0,380,1.0
16,0,380,1.0
16,1,380,1.0
16,1,380,1.0
16,0,380,1.0
16,1,380,1.0
16,1,380,1.0
16,0,380,0.0
16,1,380,1.0
16,1,380,0.0
16,0,600,1.0
16,1,600,1.0
16,1,600,1.0
16,1,600,1.0
16,0,600,1.0
16,1,600,1.0
16,0,600,1.0
16,1,600,1.0
16,0,600,1.0
16,0,600,1.0
17,1,60,1.0
17,0,60,0.0
17,0,60,1.0
17,1,60,1.0
17,0,60,1.0
17,1,60,1.0
17,0,60,1.0
17,1,60,0.0
17,0,60,0.0
17,1,60,1.0
17,1,220,1.0
17,1,220,1.0
17,0,220,0.0
17,0,220,1.0
17,1,220,1.0
17,0,220,0.0
17,0,220,1.0
17,1,220,1.0
17,0,220,1.0
17,0,220,1.0
17,1,270,1.0
17,0,270,1.0
17,0,270,1.0
17,0,270,0.0
17,1,270,1.0
17,0,270,1.0
17,1,270,1.0
17,0,270,1.0
17,1,270,0.0
17,1,270,1.0
17,0,330,1.0
17,1,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,0,380,1.0
17,0,380,1.0
17,1,380,1.0
17,1,380,1.0
17,0,380,0.0
17,1,380,1.0
17,1,380,1.0
17,0,380,1.0
17,1,380,1.0
17,1,380,1.0
17,0,600,1.0
17,1,600,1.0
17,1,600,1.0
17,1,600,0.0
17,0,600,1.0
17,1,600,1.0
17,0,600,1.0
17,1,600,1.0
17,0,600,1.0
17,0,600,1.0
18,1,60,0.0
18,0,60,1.0
18,0,60,1.0
18,1,60,1.0
18,0,60,1.0
18,1,60,1.0
18,0,60,1.0
18,1,60,0.0
18,0,60,1.0
18,1,60,1.0
18,1,220,1.0
18,1,220,1.0
18,0,220,1.0
18,0,220,1.0
18,1,220,1.0
18,0,220,1.0
18,0,220,1.0
18,1,220,0.0
18,0,220,1.0
18,0,220,0.0
18,1,270,1.0
18,0,270,1.0
18,0,270,1.0
18,0,270,0.0
18,1,270,1.0
18,0,270,1.0
18,1,270,1.0
18,0,270,1.0
18,1,270,1.0
18,1,270,1.0
18,0,330,1.0
18,1,330,1.0
18,1,330,0.0
18,0,330,1.0
18,1,330,1.0
18,0,330,1.0
18,1,330,1.0
18,0,330,0.0
18,1,330,1.0
18,0,330,1.0
18,0,380,1.0
18,0,380,1.0
18,1,380,1.0
18,1,380,1.0
18,0,380,1.0
18,1,380,0.0
18,1,380,1.0
18,0,380,0.0
18,1,380,1.0
18,1,380,0.0
18,0,600,1.0
18,1,600,1.0
18,1,600,1.0
18,1,600,0.0
18,0,600,1.0
18,1,600,1.0
18,0,600,1.0
18,1,600,1.0
18,0,600,1.0
18,0,600,1.0
19,1,60,0.0
19,0,60,1.0
19,0,60,1.0
19,1,60,1.0
19,0,60,1.0
19,1,60,1.0
19,0,60,1.0
19,1,60,0.0
19,0,60,1.0
19,1,60,1.0
19,1,220,1.0
19,1,220,1.0
19,0,220,1.0
19,0,220,1.0
19,1,220,1.0
19,0,220,1.0
19,0,220,1.0
19,1,220,0.0
19,0,220,1.0
